,meter,solar,default_df_cons,nearcasting,weekly,replace_consumptions,merging,uploading,total
0,1916, 0:00:00.756974, 0:00:00.023937, 0:00:00.697133, 0:00:00.678185, 0:00:00, 0:00:00.089760, 0:04:35.312043, 0:04:37.559030
1,1917, 0:00:01.782231, 0:00:00.023936, 0:00:00.660236, 0:00:00.639286, 0:00:00, 0:00:00.090759, 0:04:45.822943, 0:04:49.019391
2,1918, 0:00:01.759295, 0:00:00.025932, 0:00:00.695138, 0:00:00.759967, 0:00:00, 0:00:00.088764, 0:04:46.089447, 0:04:49.418543
3,1919, 0:00:01.743339, 0:00:00.014957, 0:00:00.675194, 0:00:00.669208, 0:00:00, 0:00:00.089761, 0:04:45.548367, 0:04:48.740826
4,1920, 0:00:01.680501, 0:00:00.025930, 0:00:00.680184, 0:00:00.974390, 0:00:00, 0:00:00.087765, 0:04:45.349329, 0:04:48.798099
5,1921, 0:00:01.919862, 0:00:00.030917, 0:00:00.709102, 0:00:00.738026, 0:00:00, 0:00:00.086767, 0:04:41.909064, 0:04:45.395734
6,1922, 0:00:01.720398, 0:00:00.025933, 0:00:00.714087, 0:00:00.702123, 0:00:00, 0:00:00.150597, 0:04:35.745542, 0:04:39.059678
7,1923, 0:00:01.781233, 0:00:00.026927, 0:00:00.702124, 0:00:00.633818, 0:00:00, 0:00:00.076794, 0:04:37.397599, 0:04:40.619492
8,1924, 0:00:01.646592, 0:00:00.025932, 0:00:00.640293, 0:00:00.688153, 0:00:00, 0:00:00.093749, 0:04:39.985009, 0:04:43.081724
9,1925, 0:00:01.477047, 0:00:00.026927, 0:00:00.653254, 0:00:00.645273, 0:00:00, 0:00:00.088761, 0:04:40.864369, 0:04:43.755631
10,1926, 0:00:01.670530, 0:00:00.025931, 0:00:00.666219, 0:00:00.643279, 0:00:00, 0:00:00.099732, 0:04:34.155503, 0:04:37.262191
11,1927, 0:00:01.496994, 0:00:00.024933, 0:00:00.697134, 0:00:00.622335, 0:00:00, 0:00:00.104721, 0:05:01.965159, 0:05:04.915265
12,1928, 0:00:01.643604, 0:00:00.024931, 0:00:00.716084, 0:00:00.680181, 0:00:00, 0:00:00.083777, 0:04:42.615478, 0:04:45.765053
13,1929, 0:00:01.571794, 0:00:00.026928, 0:00:00.701123, 0:00:00.701126, 0:00:00, 0:00:00.088762, 0:04:34.629820, 0:04:37.720550
14,1930, 0:00:01.518937, 0:00:00.025932, 0:00:00.694140, 0:00:00.680181, 0:00:00, 0:00:00.102724, 0:04:35.537438, 0:04:38.559352
15,1931, 0:00:01.480042, 0:00:00.025930, 0:00:00.642280, 0:00:00.690153, 0:00:00, 0:00:00.095744, 0:04:37.869082, 0:04:40.805228
16,1932, 0:00:01.519933, 0:00:00.026928, 0:00:13.878376, 0:00:20.029407, 0:00:00, 0:00:00.094748, 0:04:38.013240, 0:05:13.562632
17,1933, 0:00:01.459096, 0:00:00.025931, 0:00:25.756611, 0:00:24.728375, 0:00:00, 0:00:00.125665, 0:04:42.878701, 0:05:34.975376
18,1934, 0:00:01.572793, 0:00:00.028922, 0:00:09.258738, 0:00:18.180353, 0:00:00, 0:00:00.090758, 0:04:34.486222, 0:05:03.619781
19,1935, 0:00:01.718401, 0:00:00.027925, 0:00:19.346237, 0:00:40.622819, 0:00:00, 0:00:00.045877, 0:04:36.328789, 0:05:38.090048
20,1936, 0:00:01.514946, 0:00:00.026928, 0:00:31.992448, 0:00:47.743770, 0:00:00, 0:00:00.092752, 0:04:31.917606, 0:05:53.288450
21,1937, 0:00:01.542871, 0:00:00.026928, 0:00:09.158010, 0:00:19.927697, 0:00:00, 0:00:00.112208, 0:04:27.394865, 0:04:58.162579
22,1938, 0:00:01.479043, 0:00:00.029921, 0:00:09.191922, 0:00:07.921802, 0:00:00, 0:00:00.089760, 0:04:29.450681, 0:04:48.164128
23,1939, 0:00:01.575782, 0:00:00.023936, 0:00:07.730825, 0:00:06.908028, 0:00:00, 0:00:00.100728, 0:04:32.525127, 0:04:48.864426
24,1940, 0:00:01.518937, 0:00:00.019947, 0:00:18.608240, 0:00:33.941733, 0:00:00, 0:00:00.089275, 0:04:30.577851, 0:05:24.757977
25,1941, 0:00:01.480040, 0:00:00.024935, 0:00:08.177145, 0:00:06.172481, 0:00:00, 0:00:00.088762, 0:04:33.975745, 0:04:49.920107
26,1943, 0:00:01.471676, 0:00:00.023984, 0:00:25.674367, 0:00:15.851108, 0:00:00, 0:00:00.046874, 0:04:23.929030, 0:05:06.998036
27,1945, 0:00:01.481036, 0:00:00.024933, 0:00:09.210360, 0:00:05.980508, 0:00:00, 0:00:00.083777, 0:04:24.596315, 0:04:41.377925
28,1946, 0:00:01.500503, 0:00:00.023936, 0:00:15.496562, 0:00:19.326313, 0:00:00, 0:00:00.091752, 0:04:28.362120, 0:05:04.802185
29,1947, 0:00:01.417208, 0:00:00.024930, 0:00:07.019730, 0:00:05.788512, 0:00:00, 0:00:00.132646, 0:04:29.134205, 0:04:43.518232
30,1948, 0:00:01.478045, 0:00:00.025930, 0:00:27.800642, 0:00:35.682096, 0:00:00, 0:00:00.086770, 0:04:25.064018, 0:05:30.137501
31,1952, 0:00:01.519935, 0:00:00.027924, 0:00:00.652255, 0:00:00.679183, 0:00:00, 0:00:00.087767, 0:04:25.432060, 0:04:28.400122
32,1953, 0:00:01.558830, 0:00:00.024932, 0:00:00.696136, 0:00:00.679186, 0:00:00, 0:00:00.087764, 0:04:25.046042, 0:04:28.092890
33,1954, 0:00:01.475053, 0:00:00.025931, 0:00:00.664222, 0:00:00.660234, 0:00:00, 0:00:00.058843, 0:04:29.579870, 0:04:32.464153
34,1955, 0:00:01.440148, 0:00:00.025930, 0:00:00.652255, 0:00:00.675194, 0:00:00, 0:00:00.091753, 0:04:25.492377, 0:04:28.378653
35,1956, 0:00:01.499986, 0:00:00.023936, 0:00:00.656243, 0:00:00.680182, 0:00:00, 0:00:00.088761, 0:04:29.372067, 0:04:32.321175
36,1957, 0:00:01.458610, 0:00:00.029921, 0:00:00.650623, 0:00:00.678820, 0:00:00, 0:00:00.097738, 0:04:28.581032, 0:04:31.496744
37,1958, 0:00:02.333269, 0:00:00.026927, 0:00:00.680179, 0:00:00.680182, 0:00:00, 0:00:00.089759, 0:04:26.630795, 0:04:30.441111
38,1959, 0:00:01.441143, 0:00:00.024933, 0:00:00.692150, 0:00:00.679689, 0:00:00, 0:00:00.079787, 0:04:25.480901, 0:04:28.399600
39,714, 0:00:01.346398, 0:00:00.024933, 0:00:17.055877, 0:00:31.433939, 0:00:00.514623, 0:00:00.085770, 0:04:22.814553, 0:05:13.277091
40,717, 0:00:01.407747, 0:00:00.019945, 0:00:16.893801, 0:00:06.097194, 0:00:00.503652, 0:00:00.082779, 0:04:24.374832, 0:04:49.381946
41,676, 0:00:01.457102, 0:00:00.028922,None,None,None, 0:00:00.083774, 0:04:28.115318, 0:04:39.975101
42,715, 0:00:01.560824, 0:00:00.026928, 0:00:11.956518, 0:00:07.531848, 0:00:00.379987, 0:00:00.084767, 0:04:29.178444, 0:04:50.720315
43,635, 0:00:01.481037, 0:00:00.025931, 0:00:21.988214, 0:00:17.911587, 0:00:00.522603, 0:00:00.084774, 0:04:24.864024, 0:05:06.879167
44,667, 0:00:01.518934, 0:00:00.025931, 0:00:12.682578, 0:00:05.763578, 0:00:00.436831, 0:00:00.103724, 0:04:27.505978, 0:04:48.038552
45,668, 0:00:01.747327, 0:00:00.025931, 0:00:51.538143, 0:00:28.398038, 0:00:00.511633, 0:00:00.084773, 0:04:26.891215, 0:05:49.199055
46,669, 0:00:01.519934, 0:00:00.028921, 0:00:13.323350, 0:00:07.406690, 0:00:00.510634, 0:00:00.097738, 0:04:24.751925, 0:04:47.639192
47,670, 0:00:01.579772, 0:00:00.026928, 0:00:11.087848, 0:00:06.155527, 0:00:00.558506, 0:00:00.056850, 0:04:29.812448, 0:04:49.278876
48,671, 0:00:01.439660, 0:00:00.025931, 0:00:10.486461, 0:00:06.802798, 0:00:00.418880, 0:00:00.079787, 0:04:25.684389, 0:04:44.938903
49,672, 0:00:01.499984, 0:00:00.017951, 0:00:10.343853, 0:00:05.930647, 0:00:00.475727, 0:00:00.046874, 0:04:24.353536, 0:04:42.668572
50,673, 0:00:01.485028, 0:00:00.016952, 0:00:18.881502, 0:00:18.102102, 0:00:00.525593, 0:00:00.087767, 0:04:25.930249, 0:05:05.029193
51,719, 0:00:01.440145, 0:00:00.026930, 0:00:12.529500, 0:00:06.142079, 0:00:00.526592, 0:00:00.088762, 0:04:21.884594, 0:04:42.638602
52,718, 0:01:03.171083, 0:00:00.024933, 0:00:10.947238, 0:00:06.386427, 0:00:00.580448, 0:00:00.087766, 0:04:26.499867, 0:05:47.698760
53,111, 0:00:01.461089, 0:00:00.024933, 0:00:10.744281, 0:00:27.466054, 0:00:00.573467, 0:00:00.048869, 0:04:30.640226, 0:05:10.958919
54,720, 0:00:01.501981, 0:00:00.019948, 0:00:13.265017, 0:00:05.944610, 0:00:00.495674, 0:00:00.078789, 0:04:27.324012, 0:04:48.631029
55,700, 0:00:01.828619, 0:00:00.024936, 0:00:31.149697, 0:00:26.756943, 0:00:00.539556, 0:00:00.096742, 0:04:27.469191, 0:05:27.867680
56,701, 0:00:01.599718, 0:00:00.016956, 0:00:32.070730, 0:00:36.633002, 0:00:00.519611, 0:00:00.056849, 0:04:23.601664, 0:05:34.498530
57,702, 0:00:01.460094, 0:00:00.024933, 0:00:16.107927, 0:00:17.036440, 0:00:00.506644, 0:00:00.105715, 0:04:30.417240, 0:05:05.658993
58,710, 0:01:24.209277, 0:00:00.023936, 0:00:07.939757, 0:00:06.115636, 0:00:00.461765, 0:00:00.138628, 0:04:28.277074, 0:06:07.167070
59,725, 0:00:52.746940, 0:00:00.027924, 0:00:08.038518, 0:00:09.099169, 0:00:00.447803, 0:00:00.049868, 0:04:30.521614, 0:05:40.932833
60,699, 0:00:48.490340, 0:00:00.025932, 0:00:55.852117, 0:00:29.970319, 0:00:00.482710, 0:00:00.090757, 0:04:24.938921, 0:06:39.851096
61,677, 0:00:01.541878, 0:00:00.023934, 0:00:09.746919, 0:00:09.205369, 0:00:00.544543, 0:00:00.086769, 0:04:27.919908, 0:04:49.070317
62,678, 0:00:01.479043, 0:00:00.021941, 0:00:10.558263, 0:00:05.897733, 0:00:00.435834, 0:00:00.121675, 0:04:26.181675, 0:04:44.698159
63,686, 0:00:01.439664, 0:00:00.024934, 0:00:22.047547, 0:00:28.009581, 0:00:00.514623, 0:00:00.122673, 0:04:23.714171, 0:05:15.874189
64,703, 0:00:01.424189, 0:00:00.025933, 0:00:09.368958, 0:00:07.147871, 0:00:00.511632, 0:00:00.049867, 0:04:25.939770, 0:04:44.468220
65,679, 0:00:01.504973, 0:00:00.026929, 0:00:15.725436, 0:00:09.253249, 0:00:00.422867, 0:00:00.080785, 0:04:27.921478, 0:04:54.936707
66,680, 0:00:45.637452, 0:00:00.027925, 0:00:07.287015, 0:00:06.076740, 0:00:00, 0:00:00.112700, 0:04:26.615960, 0:05:25.757792
67,704, 0:01:06.830765, 0:00:00.024933, 0:00:33.492954, 0:00:28.390036, 0:00:00.570474, 0:00:00.076794, 0:04:25.066187, 0:06:34.452143
68,681, 0:00:01.433676, 0:00:00.016955, 0:00:10.387719, 0:00:09.015877, 0:00:00.469742, 0:00:00.067819, 0:04:26.708226, 0:04:48.100014
69,682, 0:00:01.474058, 0:00:00.024934, 0:00:14.643355, 0:00:31.350136, 0:00:00.456778, 0:00:00.111703, 0:04:23.953096, 0:05:12.015057
70,683, 0:01:03.900627, 0:00:00.026929, 0:00:12.040782, 0:00:16.408608, 0:00:00.470740, 0:00:00.098735, 0:04:35.526168, 0:06:08.472589
71,684, 0:00:01.459094, 0:00:00.024934, 0:00:14.442864, 0:00:34.504213, 0:00:00.532576, 0:00:00.084773, 0:04:29.124327, 0:05:20.172781
72,705, 0:00:01.441143, 0:00:00.016957, 0:00:12.600798, 0:00:06.363972, 0:00:00.441819, 0:00:00.043884, 0:04:25.755685, 0:04:46.664258
73,685, 0:00:28.501252, 0:00:00.015960, 0:00:09.423299, 0:00:07.569745, 0:00:00.571472, 0:00:00.094749, 0:04:30.668062, 0:05:16.844539
74,687, 0:01:21.507992, 0:00:00.027926, 0:00:10.495432, 0:00:17.994374, 0:00:00.513626, 0:00:00.083777, 0:04:26.109748, 0:06:16.732875
75,697, 0:00:01.640613, 0:00:00.013960, 0:00:10.664980, 0:00:12.136066, 0:00:00.504650, 0:00:00.064826, 0:04:29.487768, 0:04:54.512863
76,706, 0:00:01.848056, 0:00:00.025933, 0:00:08.094850, 0:00:07.395240, 0:00:00, 0:00:00.085773, 0:04:32.396443, 0:04:49.847294
77,712, 0:00:01.637617, 0:00:00.026927, 0:01:01.214302, 0:00:43.256794, 0:00:00.433840, 0:00:00.072807, 0:05:00.263459, 0:06:46.907741
78,688, 0:00:01.427182, 0:00:00.023937, 0:00:31.032501, 0:00:35.405319, 0:00:00.466751, 0:00:00.088763, 0:04:47.883148, 0:05:56.327601
79,708, 0:05:53.683059, 0:00:00.014959, 0:00:24.960215, 0:00:38.101079, 0:00:00.463273, 0:00:00.082781, 0:04:39.052535, 0:11:36.357901
80,707, 0:00:01.416718, 0:00:00.024935, 0:00:12.141024, 0:00:07.264564, 0:00:00.528586, 0:00:00.049865, 0:04:47.568391, 0:05:08.995082
81,674, 0:00:01.589747, 0:00:00.020945, 0:00:43.841249, 0:00:51.999431, 0:00:00.454783, 0:00:00.090758, 0:04:36.861169, 0:06:14.858082
82,675, 0:00:01.860025, 0:00:00.025929, 0:00:52.379428, 0:00:28.211564, 0:00:00.395941, 0:00:00.078788, 0:04:32.487879, 0:05:55.440552
83,689, 0:01:00.968013, 0:00:00.024933, 0:00:09.396372, 0:00:10.242101, 0:00:00.501658, 0:00:00.068818, 0:04:26.999869, 0:05:48.202761
84,691, 0:00:01.687486, 0:00:00.027926, 0:00:45.262448, 0:00:21.200810, 0:00:00.452789, 0:00:00.111701, 0:04:27.704171, 0:05:36.448328
85,692, 0:01:31.079458, 0:00:00.026927, 0:00:08.735142, 0:00:08.415993, 0:00:00.566483, 0:00:00.089758, 0:04:33.663110, 0:06:22.577870
86,690, 0:00:52.762905, 0:00:00.025928, 0:00:37.481759, 0:00:36.219131, 0:00:00.470739, 0:00:00.107713, 0:04:36.758691, 0:06:43.826866
87,693, 0:00:50.314617, 0:00:00.017954, 0:00:09.390893, 0:00:08.806465, 0:00:00.486697, 0:00:00.079787, 0:04:18.565368, 0:05:27.661781
88,695, 0:00:01.391277, 0:00:00.026928, 0:00:43.439335, 0:00:47.952287, 0:00:00.507643, 0:00:00.119679, 0:04:23.581542, 0:05:57.018691
89,116, 0:00:01.393271, 0:00:00.023935, 0:00:33.882876, 0:00:16.129862, 0:00:00.459767, 0:00:00.081782, 0:04:31.668471, 0:05:23.639964
90,709, 0:00:01.391279, 0:00:00.024934, 0:00:10.956709, 0:00:07.355321, 0:00:00.438824, 0:00:00.083781, 0:04:29.504344, 0:04:49.755192
91,711, 0:00:01.905902, 0:00:00.019946, 0:01:03.215930, 0:01:16.624544, 0:00:00, 0:00:00.116689, 0:04:26.517782, 0:06:48.400793
92,694, 0:00:01.509959, 0:00:00.024934, 0:00:09.712016, 0:00:25.131781, 0:00:00.414894, 0:00:00.064824, 0:04:26.121661, 0:05:02.981064
93,696, 0:01:26.015454, 0:00:00.024933, 0:00:12.246745, 0:00:46.368931, 0:00:00.458773, 0:00:00.085773, 0:04:11.425932, 0:06:36.626541
94,722, 0:00:01.387288, 0:00:00.024932, 0:00:12.396349, 0:00:12.137560, 0:00:00.532575, 0:00:00.080785, 0:04:11.592929, 0:04:38.154414
95,726, 0:00:01.432242, 0:00:00.027927, 0:00:00.627319, 0:00:00.640288, 0:00:00, 0:00:00.048869, 0:04:17.080989, 0:04:19.858557
96,698, 0:01:44.952294, 0:00:00.025930, 0:00:31.520712, 0:00:19.700321, 0:00:00.529582, 0:00:00.154587, 0:04:19.085581, 0:06:55.969007
97,721, 0:01:04.004844, 0:00:00.025932, 0:00:10.548292, 0:00:13.856438, 0:00:00.672202, 0:00:00.083779, 0:04:14.578097, 0:05:43.769584
98,713, 0:00:01.859026, 0:00:00.027924, 0:00:36.676914, 0:00:21.940329, 0:00:00.499662, 0:00:00.105717, 0:04:14.931866, 0:05:16.041438
